Date	Open	High	Low	Close	Volume	Market Cap
8/10/2017	0.006115	0.008332	0.002232	0.003348	10,818	645,821
8/9/2017	0.001942	0.007436	0.001724	0.006123	9,307	205,106
8/8/2017	0.001905	0.002499	0.001722	0.002085	3,406	201,173
8/7/2017	0.00205	0.021957	0.001872	0.001878	2,433	216,467
8/6/2017	0.002026	0.002064	0.001781	0.002064	740	213,961
8/5/2017	0.00169	0.002047	0.001594	0.001997	1,015	178,489
8/4/2017	0.00185	0.002098	0.001647	0.001683	1,628	195,370
8/3/2017	0.001695	0.002002	0.001585	0.001847	1,381	178,983
8/2/2017	0.00195	0.002084	0.001643	0.001687	2,537	206,004
8/1/2017	0.00232	0.002553	0.001915	0.001951	710	245,032
7/31/2017	0.002019	0.002327	0.001677	0.002312	3,201	213,287
7/30/2017	0.002111	0.002212	0.001773	0.002019	1,511	222,944
7/29/2017	0.002365	0.002492	0.001761	0.002092	4,938	249,796
7/28/2017	0.002293	0.003102	0.002196	0.002292	3,717	242,189
7/27/2017	0.00273	0.00323	0.002188	0.002267	2,165	288,305
7/26/2017	0.002999	0.003	0.002386	0.002729	980	316,709
7/25/2017	0.003301	0.003504	0.002972	0.002998	6,026	348,618
7/24/2017	0.003731	0.004124	0.003179	0.003262	27,852	394,042
7/23/2017	0.003809	0.00427	0.003205	0.00371	27,849	402,347
7/22/2017	0.00412	0.00412	0.00321	0.003809	29,786	435,113
7/21/2017	0.003821	0.004313	0.003166	0.004119	38,391	403,560
7/20/2017	0.004405	0.004783	0.003554	0.003814	31,462	465,237
7/19/2017	0.005327	0.005353	0.003676	0.004444	27,863	562,635
7/18/2017	0.005041	0.005598	0.003492	0.00532	26,903	532,474
7/17/2017	0.004094	0.005339	0.003386	0.004091	60,684	432,386
7/16/2017	0.004347	0.004388	0.003198	0.004102	77,984	459,084
7/15/2017	0.00454	0.00454	0.002955	0.004346	112,424	479,463
7/14/2017	0.003461	0.004827	0.002981	0.00338	69,965	365,533
7/13/2017	0.003523	0.004645	0.003039	0.003948	99,905	372,075
7/12/2017	0.004552	0.004964	0.003135	0.004293	92,780	480,823
7/11/2017	0.004897	0.00528	0.003214	0.004553	69,822	517,217
7/10/2017	0.00514	0.005338	0.004613	0.004904	75,680	542,929
7/9/2017	0.00469	0.005394	0.00469	0.005118	78,519	495,328
7/8/2017	0.005453	0.005534	0.004646	0.004906	62,167	575,950
7/7/2017	0.005651	0.005704	0.005154	0.005464	70,362	596,851
7/6/2017	0.005402	0.005679	0.005104	0.005679	81,425	570,515
7/5/2017	0.005316	0.005492	0.005079	0.005376	86,729	561,453
7/4/2017	0.005702	0.005702	0.00518	0.005314	85,105	602,221
7/3/2017	0.005883	0.006345	0.005182	0.005661	75,533	621,347
7/2/2017	0.006356	0.007043	0.005156	0.005644	73,033	671,322
7/1/2017	0.006416	0.00706	0.006066	0.006224	78,064	677,600
6/30/2017	0.006179	0.007071	0.006076	0.006269	68,475	652,644
6/29/2017	0.006816	0.00706	0.006082	0.006186	77,493	719,924
6/28/2017	0.007006	0.007568	0.00646	0.006816	71,044	739,920
6/27/2017	0.007246	0.007793	0.006584	0.006782	74,778	765,349
6/26/2017	0.008082	0.008468	0.007056	0.007246	79,912	853,590
6/25/2017	0.007328	0.008444	0.006959	0.00807	92,109	773,959
